	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPTBN1	0.000000	-0.277027798	0.749	0.717	0.000000
SESN3	0.000000	-0.303892838	0.277	0.349	0.000000
IL8	0.000000	0.742442501	0.189	0.08	0.000000
RAPH1	0.000000	-0.302731836	0.562	0.58	0.000000
SNRNP70	0.000000	-0.267509198	0.865	0.801	0.000000
PRDM2	0.000000	-0.289196302	0.611	0.599	0.000000
PHF3	0.000000	-0.293122256	0.829	0.783	0.000000
GCC2	0.000000	-0.275786071	0.888	0.834	0.000000
PARD3	0.000000	-0.251247142	0.571	0.566	0.000000
MAP3K2	0.000000	-0.255420446	0.804	0.762	0.000000
IRF2BP2	0.000000	-0.291865683	0.773	0.717	0.000000
SMEK1	0.000000	-0.292072616	0.784	0.715	0.000000
CEBPD	0.000000	-0.357639224	0.888	0.865	0.000000
AKAP9	0.000000	-0.281178363	0.924	0.88	0.000000
S100A9	0.000000	0.440282819	0.537	0.799	0.000000
ID2	0.000000	-0.284992627	0.347	0.418	0.000000
NCL	0.000000	-0.301095215	0.917	0.928	0.000000
SLC38A1	0.000000	-0.36769322	0.659	0.631	0.000000
SP3	0.000000	-0.319674552	0.771	0.718	0.000000
PPP2R3A	0.000000	-0.254107948	0.351	0.415	0.000000
ZC3H13	0.000000	-0.309326759	0.758	0.703	0.000000
BCL6	0.000000	-0.299824704	0.833	0.766	0.000000
CDK13	0.000000	-0.260511893	0.633	0.624	0.000000
ZNF644	0.000000	-0.272540015	0.755	0.687	0.000000
CSRP2	0.000000	-0.671010362	0.359	0.397	0.000000
MPZL2	0.000000	-0.329617468	0.88	0.813	0.000000
SLK	0.000000	-0.277580857	0.899	0.854	0.000000
HSPA4L	0.000000	-0.3271082	0.256	0.325	0.000000
ECE1	0.000000	-0.298717915	0.81	0.761	0.000000
MAP3K1	0.000000	-0.276340529	0.504	0.518	0.000000
MLLT4	0.000000	-0.25738597	0.804	0.762	0.000000
CSNK1E	0.000000	-0.251870187	0.772	0.708	0.000000
BCL2L11	0.000000	-0.258911093	0.455	0.493	0.000000
PPP1R12A	0.000000	-0.277255787	0.75	0.682	0.000000
DNAJB14	0.000000	-0.289934986	0.751	0.686	0.000000
GLUL	0.000000	-0.307651132	0.972	0.982	0.000000
RBM5	0.000000	-0.261438785	0.747	0.672	0.000000
PVRL1	0.000000	-0.504001998	0.492	0.487	0.000000
RORA	0.000000	-0.323327573	0.595	0.582	0.000000
PIK3IP1	0.000000	-0.286229901	0.705	0.677	0.000000
PNRC1	0.000000	-0.307483408	0.804	0.775	0.000000
ARHGAP23	0.000000	-0.335504145	0.487	0.487	0.000000
KIAA2026	0.000000	-0.283853175	0.675	0.628	0.000000
LIMA1	0.000000	-0.268312601	0.928	0.901	0.000000
PER3	0.000000	-0.365861822	0.544	0.549	0.000000
WDR26	0.000000	-0.276026135	0.671	0.627	0.000000
ARHGAP21	0.000000	-0.297643346	0.687	0.639	0.000000
DUSP1	0.000000	-0.539657665	0.565	0.596	0.000000
PALLD	0.000000	-0.377655856	0.733	0.665	0.000000
NFE2L1	0.000000	-0.277217675	0.713	0.663	0.000000
CX3CL1	0.000000	-0.315903397	0.404	0.448	0.000000
MMP14	0.000000	-0.304322922	0.645	0.627	0.000000
IKBKB	0.000000	-0.253983643	0.57	0.559	0.000001
GPNMB	0.000000	-0.395335322	0.323	0.376	0.000001
SMC3	0.000000	-0.301635385	0.724	0.658	0.000001
OXR1	0.000000	-0.276904071	0.74	0.679	0.000001
ATXN1	0.000000	-0.253145592	0.256	0.32	0.000001
HMGB1	0.000000	-0.336326157	0.966	0.983	0.000001
SCGB1A1	0.000000	-0.290176688	0.407	0.269	0.000001
RIC3	0.000000	-0.251596972	0.7	0.654	0.000001
PRKDC	0.000000	-0.25200872	0.818	0.761	0.000001
UBR5	0.000000	-0.272622739	0.741	0.69	0.000002
PCP4L1	0.000000	-0.409976249	0.255	0.317	0.000002
UBTF	0.000000	-0.255471836	0.643	0.599	0.000002
NCOA4	0.000000	-0.281805228	0.875	0.82	0.000003
CA12	0.000000	-0.56877743	0.579	0.573	0.000003
RGS12	0.000000	-0.311935691	0.51	0.496	0.000003
SENP6	0.000000	-0.254504969	0.727	0.67	0.000004
ABCA13	0.000000	-0.42794369	0.916	0.842	0.000004
PRRC2B	0.000000	-0.255094489	0.753	0.697	0.000004
GOLGA8A	0.000000	-0.330828025	0.678	0.651	0.000004
POLR2A	0.000000	-0.319327609	0.771	0.701	0.000005
ARHGAP24	0.000000	-0.319167205	0.435	0.458	0.000005
KRT24	0.000000	0.428295516	0.135	0.052	0.000007
NF1	0.000000	-0.256143796	0.72	0.656	0.000009
TOB1	0.000000	-0.291871126	0.863	0.758	0.000010
RHOB	0.000000	-0.550132039	0.496	0.479	0.000010
VPS13A	0.000000	-0.284472128	0.72	0.682	0.000010
SMARCA2	0.000000	-0.296538534	0.78	0.714	0.000010
ITGA2	0.000000	-0.444457526	0.638	0.592	0.000011
SHISA5	0.000000	-0.44185649	0.746	0.666	0.000012
SEMA5A	0.000000	-0.497892633	0.307	0.346	0.000025
ARRDC3	0.000000	-0.301359294	0.677	0.624	0.000026
CLU	0.000000	-0.559694591	0.885	0.749	0.000027
UTRN	0.000000	-0.258954391	0.605	0.577	0.000037
FAM214A	0.000000	-0.276862869	0.786	0.697	0.000043
MT3	0.000000	-0.333429825	0.145	0.21	0.000049
CMYA5	0.000000	-0.399271524	0.537	0.534	0.000058
PHC3	0.000000	-0.265997308	0.615	0.587	0.000059
LAMA5	0.000000	-0.31063416	0.624	0.568	0.000062
PVRL4	0.000000	-0.259029269	0.803	0.741	0.000063
RPL13A	0.000000	-0.576082904	0.954	0.989	0.000067
ANKLE2	0.000000	-0.256217524	0.717	0.656	0.000070
PLTP	0.000000	-0.278821297	0.207	0.268	0.000077
B3GALT5	0.000000	-0.305284949	0.502	0.518	0.000077
REV1	0.000000	-0.260095457	0.599	0.566	0.000078
DMTF1	0.000000	-0.252487473	0.365	0.401	0.000082
MYOF	0.000000	-0.275374631	0.908	0.876	0.000083
PRKX	0.000000	-0.269892718	0.306	0.348	0.000152
FAM84A	0.000000	-0.382552067	0.562	0.538	0.000201
SERINC1	0.000000	-0.286603566	0.783	0.706	0.000233
ATP2B4	0.000000	-0.42875906	0.482	0.462	0.000243
HNRNPH3	0.000000	-0.270660727	0.766	0.682	0.000351
TET2	0.000000	-0.265485308	0.844	0.789	0.000525
IRF6	0.000000	-0.327986617	0.519	0.492	0.000593
KAT6B	0.000000	-0.3116271	0.656	0.603	0.000604
PLXNB1	0.000000	-0.261593237	0.481	0.472	0.000612
ARAP2	0.000000	-0.25465124	0.674	0.621	0.000676
DENND2C	0.000000	-0.280750249	0.56	0.537	0.000862
ABI2	0.000000	-0.275052291	0.625	0.572	0.000941
GPC1	0.000000	-0.29256329	0.585	0.545	0.001409
ENO1	0.000000	-0.261251244	0.891	0.87	0.001587
MT1X	0.000000	-1.427774846	0.681	0.614	0.001764
FOXC1	0.000000	-0.324228287	0.429	0.439	0.001866
RPS11	0.000000	-0.390632543	0.924	0.955	0.002169
TRIM24	0.000000	-0.278115142	0.601	0.545	0.002259
GEN1	0.000000	-0.251279798	0.245	0.296	0.003487
STX6	0.000000	-0.287402348	0.411	0.414	0.003797
SH3PXD2A	0.000000	-0.268035549	0.687	0.625	0.004036
MTSS1	0.000000	-0.313348968	0.287	0.318	0.005324
ETS2	0.000000	-0.255684336	0.715	0.648	0.005440
TCF4	0.000000	-0.390251191	0.589	0.541	0.005443
S100A10	0.000000	0.476786442	0.801	0.769	0.005480
KDM6A	0.000000	-0.250974605	0.436	0.442	0.005990
TMTC3	0.000000	-0.276265674	0.637	0.58	0.006160
SLITRK6	0.000000	-0.360156099	0.452	0.449	0.006229
RP11-304L19.5	0.000000	-0.254556956	0.319	0.346	0.007594
EIF1AX	0.000000	-0.292903459	0.834	0.735	0.008702
RASSF5	0.000000	-0.253417945	0.316	0.344	0.010407
NTS	0.000000	0.279142344	0.591	0.49	0.012250
ARID5B	0.000000	-0.270695849	0.75	0.706	0.013359
SUPT16H	0.000001	-0.26079292	0.753	0.658	0.014631
ARL4D	0.000001	-0.388303048	0.441	0.449	0.016939
DUOX1	0.000001	-0.279238918	0.579	0.528	0.017323
DNAJB1	0.000001	-0.43249365	0.75	0.631	0.033073
RPL23	0.000002	-0.344139252	0.944	0.959	0.046500
TANC2	0.000002	-0.259537196	0.625	0.586	0.048158
RPS20	0.000003	-0.322910739	0.939	0.954	0.080907
EIF3L	0.000003	-0.323554853	0.779	0.683	0.084153
MYO6	0.000003	-0.270893596	0.882	0.803	0.089988
ALDH7A1	0.000004	-0.366979813	0.405	0.392	0.105514
SMC1A	0.000004	-0.254383365	0.644	0.583	0.106194
BAG3	0.000006	-0.29159035	0.563	0.501	0.151729
SLC6A8	0.000008	-0.416970817	0.423	0.414	0.202031
EFNA1	0.000008	-0.259264942	0.529	0.501	0.207138
BPIFA1	0.000008	-0.572096112	0.427	0.48	0.212019
SESTD1	0.000009	-0.268709836	0.69	0.613	0.242470
TMPRSS11D	0.000010	-0.308994252	0.458	0.434	0.266402
PPL	0.000012	-0.264577657	0.793	0.721	0.314218
SLC20A1	0.000014	-0.254244499	0.527	0.482	0.370608
DDIT4	0.000014	-0.375354717	0.731	0.692	0.383492
PRNP	0.000016	-0.33141314	0.506	0.466	0.424914
TPM4	0.000020	-0.383501768	0.906	0.848	0.535446
ADAM28	0.000025	-0.294670254	0.878	0.801	0.677914
MGLL	0.000042	-0.333065283	0.414	0.4	1.000000
SERPINB4	0.000050	-0.791782134	0.469	0.455	1.000000
RPL7	0.000091	-0.420510065	0.94	0.938	1.000000
IGFBP4	0.000095	-0.284326395	0.421	0.413	1.000000
RCBTB1	0.000101	-0.252355513	0.388	0.386	1.000000
FAM213A	0.000134	-0.347742535	0.662	0.568	1.000000
ELF3	0.000178	-0.275055805	0.977	0.955	1.000000
EPB41L4A-AS1	0.000185	-0.287122995	0.577	0.503	1.000000
PIP	0.000190	-0.509078502	0.333	0.221	1.000000
Sep-07	0.000207	-0.261468175	0.875	0.824	1.000000
MFSD4	0.000235	-0.280698504	0.799	0.696	1.000000
FLOT2	0.000243	-0.290330431	0.478	0.434	1.000000
LAMB2	0.000438	-0.274938607	0.407	0.397	1.000000
TCN1	0.000487	-0.265472477	0.485	0.377	1.000000
HMGB2	0.000556	-0.307984334	0.403	0.386	1.000000
PPP1R15A	0.000571	-0.466081641	0.448	0.425	1.000000
RPS2	0.000733	-0.49995433	0.915	0.972	1.000000
VPS36	0.001174	-0.289834421	0.735	0.625	1.000000
LSG1	0.001629	-0.252740556	0.575	0.504	1.000000
KRT15	0.002864	-0.407771527	0.487	0.434	1.000000
BAZ1B	0.004380	-0.275478152	0.683	0.586	1.000000
FOSB	0.004620	-0.508647427	0.34	0.345	1.000000
AKR1C2	0.006478	0.259514494	0.92	0.852	1.000000
SFN	0.009439	-0.392159754	0.779	0.646	1.000000
CES2	0.010299	-0.262738272	0.495	0.424	1.000000
CPEB4	0.011012	-0.254133611	0.804	0.683	1.000000
RPS18	0.012714	-0.539393553	0.963	0.985	1.000000
MIR24-2	0.012949	-0.280784903	0.213	0.227	1.000000
FTL	0.016860	0.476893826	0.73	0.963	1.000000
DAPL1	0.023244	-0.39852232	0.664	0.538	1.000000
RPL3	0.024590	-0.532686058	0.95	0.965	1.000000
STATH	0.033320	-1.8953983	0.223	0.23	1.000000
CLEC2B	0.039698	-0.274803855	0.696	0.617	1.000000
RPS6	0.054556	-0.390679682	0.954	0.975	1.000000
C6orf48	0.060719	-0.284156204	0.447	0.376	1.000000
7SK.2	0.061315	0.299936966	0.752	0.62	1.000000
SLC26A4	0.061786	-0.545084143	0.42	0.323	1.000000
RPLP1	0.079438	-0.378079735	0.961	0.992	1.000000
GNB2L1	0.152316	-0.30025398	0.943	0.948	1.000000
MSMB	0.173223	1.022175205	0.673	0.708	1.000000
RPL5	0.207164	-0.308164235	0.951	0.952	1.000000
RPL7A	0.235012	-0.270138005	0.942	0.962	1.000000
ANKRD36	0.236806	-0.317813527	0.74	0.613	1.000000
ST8SIA4	0.267169	-0.393890513	0.538	0.445	1.000000
FBXO32	0.356845	-0.257389482	0.573	0.485	1.000000
ARL4A	0.385569	-0.284810237	0.775	0.637	1.000000
RPL29	0.406530	-0.282050243	0.933	0.969	1.000000
HLA-DQA1	0.466869	-0.308576045	0.287	0.266	1.000000
RPS3A	0.545896	-0.379056701	0.93	0.963	1.000000
TPM1	0.596622	-0.25411608	0.664	0.506	1.000000
RPS14	0.708819	-0.266183473	0.948	0.982	1.000000
MIA	0.756616	-0.256431486	0.166	0.158	1.000000
RPL10A	0.953650	-0.349761286	0.929	0.939	1.000000
RPL13	0.957449	-0.31923603	0.952	0.987	1.000000
